file|symbols|menu_refs|ice_refs|event_refs|capture_refs|ax_refs|bridging_refs
Thaw/Utilities/IceSettingsImporter.swift|3|5|2|0|0|0|0
Thaw/Utilities/IconResource.swift|1|0|0|0|3|0|0
Thaw/Utilities/LocalizedErrorWrapper.swift|1|0|0|0|0|0|0
Thaw/Utilities/Migration.swift|14|53|0|0|0|0|0
Thaw/Utilities/MouseHelpers.swift|1|0|0|13|0|0|3
Thaw/Utilities/ObjectStorage.swift|4|0|0|0|0|0|0
Thaw/Utilities/Predicates.swift|2|0|0|0|0|0|1
Thaw/Utilities/ScreenCapture.swift|2|3|0|0|36|0|4
Thaw/Utilities/SpaceInfo.swift|1|0|0|0|0|0|16
Thaw/Utilities/Swizzling.swift|1|0|0|0|0|0|0
Thaw/Utilities/SystemAppearance.swift|1|0|0|0|0|0|0
